cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.56,0,0,0,11772,0,99%,4013,0.00,13.56,0,0,4096,26,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11800,0,99%,4013,0.00,13.54,0,0,4096,25,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11784,0,99%,4011,0.00,13.54,0,0,4096,35,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11788,0,100%,4012,0.00,13.58,0,0,4096,30,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11772,0,99%,4012,0.00,13.56,0,0,4096,41,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11788,0,99%,4012,0.00,13.54,0,0,4096,46,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11804,0,100%,4011,0.00,13.56,0,0,4096,24,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.60,0,0,0,11772,0,100%,4012,0.00,13.59,0,0,4096,25,13.60,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11788,0,99%,4012,0.01,13.53,0,0,4096,20,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11840,0,99%,4013,0.00,13.57,0,0,4096,42,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4013,0.00,13.55,0,0,4096,23,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,99%,4014,0.00,13.55,0,0,4096,44,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11772,0,99%,4012,0.00,13.53,0,0,4096,28,13.54,0,0,0,0,0,1,0
