cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.68,0,0,0,207820,0,99%,54296,0.04,144.63,0,0,4096,420,144.68,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207824,0,99%,54296,0.05,144.78,0,0,4096,299,144.83,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207764,0,99%,54296,0.06,144.61,0,0,4096,553,144.68,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207916,0,99%,54297,0.04,144.64,0,0,4096,464,144.68,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207828,0,99%,54297,0.05,144.63,0,0,4096,655,144.69,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,100%,54296,0.05,144.72,0,0,4096,310,144.78,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207824,0,100%,54296,0.04,144.77,0,0,4096,338,144.81,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207908,0,99%,54297,0.04,144.65,0,0,4096,505,144.70,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207908,0,99%,54297,0.05,144.61,0,0,4096,543,144.67,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207856,0,100%,54296,0.04,144.78,0,0,4096,278,144.82,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207812,0,99%,54295,0.06,144.64,0,0,4096,452,144.70,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207860,0,99%,54296,0.05,144.76,0,0,4096,320,144.82,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207776,0,99%,54296,0.03,144.67,0,0,4096,562,144.71,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207816,0,99%,54296,0.03,144.61,0,0,4096,577,144.66,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207916,0,100%,54297,0.06,144.74,0,0,4096,282,144.80,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207768,0,99%,54295,0.05,144.60,0,0,4096,495,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207820,0,99%,54296,0.07,144.71,0,0,4096,454,144.78,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207768,0,99%,54295,0.05,144.62,0,0,4096,404,144.68,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207816,0,99%,54296,0.04,144.64,0,0,4096,383,144.68,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207768,0,99%,54295,0.04,144.61,0,0,4096,380,144.66,0,0,0,0,0,1,0
test,0,2:24.76,0,0,0,207768,0,99%,54295,0.05,144.70,0,0,4096,501,144.76,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207860,0,100%,54296,0.04,144.75,0,0,4096,308,144.79,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207844,0,100%,54297,0.04,144.75,0,0,4096,323,144.80,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.04,144.65,0,0,4096,512,144.69,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207768,0,99%,54295,0.04,144.67,0,0,4096,459,144.72,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207816,0,99%,54296,0.03,144.61,0,0,4096,499,144.65,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207824,0,99%,54297,0.04,144.62,0,0,4096,523,144.67,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.05,144.72,0,0,4096,463,144.78,0,0,0,0,0,1,0
test,0,2:24.76,0,0,0,207776,0,99%,54297,0.05,144.70,0,0,4096,464,144.76,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207812,0,99%,54295,0.06,144.61,0,0,4096,443,144.68,0,0,0,0,0,1,0
ref,0,2:39.29,0,0,0,207844,0,99%,54297,0.05,159.24,0,0,4096,468,159.29,0,0,0,0,0,1,0
