cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.68,0,0,0,11880,0,100%,4014,0.00,13.68,0,0,4096,32,13.68,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11760,0,100%,4012,0.00,13.56,0,0,4096,49,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11808,0,100%,4013,0.00,13.54,0,0,4096,42,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4012,0.00,13.54,0,0,4096,48,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,99%,4012,0.00,13.54,0,0,4096,37,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,99%,4013,0.00,13.54,0,0,4096,46,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11908,0,99%,4015,0.00,13.53,0,0,4096,47,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11804,0,99%,4013,0.00,13.55,0,0,4096,43,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11808,0,100%,4011,0.00,13.55,0,0,4096,41,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,100%,4012,0.00,13.56,0,0,4096,41,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11860,0,100%,4013,0.00,13.58,0,0,4096,34,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11784,0,99%,4012,0.00,13.53,0,0,4096,44,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11776,0,99%,4012,0.00,13.54,0,0,4096,50,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11728,0,99%,4012,0.00,13.55,0,0,4096,42,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.71,0,0,0,11792,0,99%,4012,0.00,13.71,0,0,4096,49,13.71,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4012,0.01,13.53,0,0,4096,53,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11852,0,100%,4012,0.00,13.54,0,0,4096,45,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11860,0,99%,4013,0.00,13.54,0,0,4096,44,13.54,0,0,0,0,0,1,0
